stock,cluster
3IN,1
FOUR,6
ABDN,7
ALW,3
ATT,3
ASHM,5
DGN,4
AGR,5
AGT,1
BAB,2
BGFD,4
BBY,4
BNKR,3
BGEO,2
BAG,2
BBGI,5
BWY,6
BHMG,0
BYG,3
BRGE,3
BRSC,1
THRG,1
BRWM,4
BMY,5
BOY,6
BREE,6
BVIC,6
BUT,6
BRBY,4
CCR,0
CLDN,0
CGT,3
CCL,5
CWR,4
CHG,7
CTY,3
CKN,2
CBG,2
COA,5
CCC,4
CWK,2
CURY,2
DLN,7
DLG,5
DSCV,0
DOM,4
DRX,7
DNLM,0
EDIN,7
EWI,4
ELM,0
ESNT,7
EOT,1
ESCT,4
FCSS,1
FEML,6
FEV,3
FSV,4
FGT,2
FGP,7
FUTR,7
GAW,1
GCP,5
GNS,1
GSCT,3
GDWN,0
GFTU,3
GRI,0
GPE,7
GNC,6
GRG,6
HMSO,3
HVPE,3
HWG,7
HAS,3
HET,5
HSL,4
HRI,0
HGT,3
HICL,5
HILS,1
HFG,5
HOC,5
HTG,2
ICGT,0
IGG,7
IEM,7
INCH,4
INPP,3
INVP,6
IPO,2
ITV,6
IWG,5
JMAT,7
JAM,3
JMG,1
JEDT,2
JGGI,3
JII,4
JFJ,1
JUP,1
KLR,1
KIE,6
LRE,7
LWDB,0
EMG,4
MSLH,7
MEGP,6
MRC,4
MRCH,7
MAB,4
MTO,7
MONY,0
MNKS,1
MGAM,0
MGNS,4
MUT,2
MYI,6
NBPE,6
NCC,2
NAS,1
OCDO,2
OXIG,3
PHI,7
PAGE,5
PIN,3
PAG,0
PPET,0
PAY,6
PNN,0
PNL,1
PTEC,5
PCT,3
PPH,1
PFD,7
PHP,0
PZC,5
QQ,6
RAT,0
RWI,1
RSW,7
RCP,0
ROR,7
RICA,5
SAFE,3
SVS,7
SDP,6
SOI,0
SAIN,3
SNR,2
SRP,7
SHC,2
SRE,3
SXS,7
SPT,6
STEM,2
STJ,1
SYNC,7
TATE,6
TEP,1
TMPL,6
TEM,1
TCAP,7
TPK,6
TRY,2
VSVS,7
VCT,6
VOF,5
JDW,5
SMWH,7
WG,7
WKP,0
WWH,6
ZIG,1
ASL,7
