stock,cluster
3IN,0
FOUR,2
ABDN,2
ALW,0
ATT,1
ASHM,2
DGN,6
AGR,2
AGT,0
BAB,2
BGFD,6
BBY,2
BNKR,0
BGEO,2
BAG,2
BBGI,2
BWY,0
BHMG,2
BYG,0
BRGE,1
BRSC,0
THRG,1
BRWM,2
BMY,2
BOY,2
BREE,2
BVIC,0
BUT,0
BRBY,6
CCR,2
CLDN,0
CGT,1
CCL,2
CWR,6
CHG,2
CTY,2
CKN,2
CBG,2
COA,2
CCC,6
CWK,2
CURY,2
DLN,2
DLG,2
DSCV,0
DOM,2
DRX,2
DNLM,2
EDIN,2
EWI,0
ELM,2
ESNT,2
EOT,6
ESCT,6
FCSS,2
FEML,2
FEV,0
FSV,2
FGT,6
FGP,2
FUTR,0
GAW,7
GCP,2
GNS,5
GSCT,0
GDWN,2
GFTU,0
GRI,2
GPE,2
GNC,2
GRG,0
HMSO,0
HVPE,1
HWG,2
HAS,2
HET,2
HSL,6
HRI,0
HGT,0
HICL,2
HILS,2
HFG,2
HOC,2
HTG,2
ICGT,2
IGG,6
IEM,1
INCH,2
INPP,2
INVP,2
IPO,2
ITV,2
IWG,2
JMAT,2
JAM,1
JMG,4
JEDT,0
JGGI,0
JII,2
JFJ,0
JUP,3
KLR,2
KIE,2
LRE,2
LWDB,2
EMG,6
MSLH,6
MEGP,2
MRC,2
MRCH,2
MAB,2
MTO,2
MONY,2
MNKS,1
MGAM,2
MGNS,2
MUT,2
MYI,2
NBPE,2
NCC,2
NAS,2
OCDO,2
OXIG,2
PHI,1
PAGE,2
PIN,0
PAG,2
PPET,2
PAY,0
PNN,2
PNL,0
PTEC,2
PCT,1
PPH,0
PFD,2
PHP,2
PZC,2
QQ,2
RAT,2
RWI,4
RSW,2
RCP,2
ROR,2
RICA,2
SAFE,1
SVS,2
SDP,0
SOI,2
SAIN,0
SNR,2
SRP,2
SHC,2
SRE,1
SXS,2
SPT,2
STEM,2
STJ,6
SYNC,2
TATE,2
TEP,0
TMPL,2
TEM,6
TCAP,2
TPK,2
TRY,0
VSVS,2
VCT,2
VOF,2
JDW,2
SMWH,2
WG,2
WKP,2
WWH,2
ZIG,2
ASL,2
