,Ticker,Cluster
0,3IN,2
1,FOUR,3
2,ABDN,3
3,ALW,3
4,ATT,4
5,ASHM,4
6,DGN,4
7,AGR,3
8,AGT,4
9,BAB,3
10,BGFD,4
11,BBY,2
12,BNKR,3
13,BGEO,3
14,BAG,3
15,BBGI,3
16,BWY,3
17,BHMG,3
18,BYG,3
19,BRGE,3
20,BRSC,3
21,THRG,3
22,BRWM,3
23,BMY,2
24,BOY,3
25,BREE,3
26,BVIC,2
27,BUT,3
28,BRBY,3
29,CCR,3
30,CLDN,2
31,CGT,3
32,CCL,3
33,CWR,3
34,CHG,3
35,CTY,3
36,CKN,3
37,CBG,3
38,COA,3
39,CCC,3
40,CWK,3
41,CURY,3
42,DLN,3
43,DLG,3
44,DSCV,3
45,DOM,3
46,DRX,3
47,DNLM,1
48,EDIN,2
49,EWI,4
50,ELM,4
51,ESNT,3
52,EOT,3
53,ESCT,4
54,FCSS,4
55,FEML,4
56,FEV,3
57,FSV,2
58,FGT,3
59,FGP,3
60,FUTR,3
61,GAW,3
62,GCP,3
63,GNS,3
64,GSCT,2
65,GDWN,3
66,GFTU,2
67,GRI,3
68,GPE,2
69,GNC,3
70,GRG,2
71,HMSO,3
72,HVPE,3
73,HWG,2
74,HAS,2
75,HET,2
76,HSL,3
77,HRI,3
78,HGT,3
79,HICL,3
80,HILS,3
81,HFG,4
82,HOC,3
83,HTG,3
84,ICGT,3
85,IGG,3
86,IEM,4
87,INCH,3
88,INPP,3
89,INVP,3
90,IPO,3
91,ITV,3
92,IWG,3
93,JMAT,3
94,JAM,3
95,JMG,4
96,JEDT,3
97,JGGI,4
98,JII,4
99,JFJ,4
100,JUP,3
101,KLR,3
102,KIE,0
103,LRE,3
104,LWDB,2
105,EMG,3
106,MSLH,3
107,MEGP,3
108,MRC,2
109,MRCH,2
110,MAB,3
111,MTO,3
112,MONY,2
113,MNKS,4
114,MGAM,3
115,MGNS,3
116,MUT,3
117,MYI,2
118,NBPE,3
119,NCC,3
120,NAS,3
121,OCDO,3
122,OXIG,2
123,PHI,4
124,PAGE,3
125,PIN,3
126,PAG,3
127,PPET,2
128,PAY,3
129,PNN,3
130,PNL,3
131,PTEC,4
132,PCT,3
133,PPH,3
134,PFD,3
135,PHP,3
136,PZC,1
137,QQ,3
138,RAT,3
139,RWI,2
140,RSW,3
141,RCP,3
142,ROR,3
143,RICA,3
144,SAFE,3
145,SVS,3
146,SDP,4
147,SOI,4
148,SAIN,3
149,SNR,3
150,SRP,2
151,SHC,3
152,SRE,3
153,SXS,3
154,SPT,3
155,STEM,3
156,STJ,3
157,SYNC,2
158,TATE,3
159,TEP,3
160,TMPL,3
161,TEM,4
162,TCAP,3
163,TPK,2
164,TRY,2
165,VSVS,3
166,VCT,3
167,VOF,3
168,JDW,2
169,SMWH,3
170,WG,3
171,WKP,3
172,WWH,3
173,ZIG,2
174,ASL,2
