Ticker,Cluster
3IN,2
FOUR,6
ABDN,5
ALW,5
ATT,5
ASHM,5
DGN,5
AGR,4
AGT,5
BAB,1
BGFD,7
BBY,1
BNKR,5
BGEO,4
BAG,0
BWY,7
BHMG,5
BYG,7
BRGE,5
BRSC,4
THRG,4
BRWM,5
BMY,1
BOY,5
BREE,3
BVIC,4
BUT,5
BRBY,7
CCR,5
CLDN,7
CGT,5
CCL,5
CWR,3
CHG,1
CTY,1
CKN,5
CBG,6
COA,5
CCC,0
CWK,5
CURY,3
DLN,4
DSCV,4
DOM,5
DRX,7
DNLM,5
EDIN,1
EWI,7
ELM,6
ESNT,2
EOT,5
ESCT,5
FCSS,5
FEML,5
FEV,5
FSV,1
FGT,2
FGP,4
FUTR,4
GAW,5
GNS,5
GSCT,5
GDWN,5
GFTU,4
GRI,4
GPE,1
GNC,4
GRG,4
HMSO,3
HVPE,5
HWG,1
HAS,1
HET,5
HSL,1
HRI,5
HGT,5
HICL,5
HILS,4
HFG,5
HOC,6
HTG,7
ICGT,1
IGG,5
IEM,5
INCH,4
INPP,5
INVP,5
IPO,6
ITV,7
IWG,0
JMAT,5
JAM,5
JMG,5
JEDT,5
JGGI,5
JII,5
JFJ,7
KLR,7
KIE,0
LRE,7
LWDB,1
EMG,5
MSLH,0
MEGP,5
MRC,5
MRCH,1
MAB,6
MTO,7
MONY,7
MNKS,5
MGAM,4
MGNS,4
MUT,5
MYI,1
NBPE,7
NCC,4
NAS,5
OXIG,4
PHI,5
PAGE,5
PIN,2
PAG,5
PPET,1
PAY,4
PNN,4
PNL,5
PTEC,5
PCT,5
PPH,7
PFD,1
PHP,4
PZC,5
QQ,4
RAT,5
RWI,1
RSW,5
RCP,5
ROR,5
RICA,5
SAFE,2
SVS,1
SDP,5
SOI,5
SAIN,5
SNR,4
SRP,5
SHC,7
SRE,4
SXS,5
SPT,4
STEM,4
STJ,5
TATE,2
TEP,2
TMPL,1
TEM,5
TCAP,7
TPK,5
TRY,4
VSVS,1
VCT,5
VOF,5
JDW,1
SMWH,1
WG,6
WKP,5
WWH,7
ZIG,5
ASL,1
